"Code","Categorie","Nom fédération","Nom catégorie"
"club.101",1,"Fédération française d'athlétisme","Fédération unisport olympique"
"club.102",1,"Fédération française d'aviron","Fédération unisport olympique"
"club.103",1,"Fédération française de badminton","Fédération unisport olympique"
"club.105",1,"Fédération française de basketball","Fédération unisport olympique"
"club.106",1,"Fédération française de boxe","Fédération unisport olympique"
"club.107",1,"Fédération française de canoë-kayak","Fédération unisport olympique"
"club.108",1,"Fédération française de cyclisme","Fédération unisport olympique"
"club.109",1,"Fédération française d'équitation","Fédération unisport olympique"
"club.110",1,"Fédération française d'escrime","Fédération unisport olympique"
"club.111",1,"Fédération française de football","Fédération unisport olympique"
"club.112",1,"Fédération française des sports de glace","Fédération unisport olympique"
"club.113",1,"Fédération française de gymnastique","Fédération unisport olympique"
"club.114",1,"Fédération française d'haltérophilie, musculation","Fédération unisport olympique"
"club.115",1,"Fédération française de handball","Fédération unisport olympique"
"club.116",1,"Fédération française de hockey","Fédération unisport olympique"
"club.117",1,"Fédération française de judo-jujitsu et disciplines associées","Fédération unisport olympique"
"club.118",1,"Fédération française de lutte et disciplines associées","Fédération unisport olympique"
"club.119",1,"Fédération française de natation","Fédération unisport olympique"
"club.121",1,"Fédération française de ski","Fédération unisport olympique"
"club.122",1,"Fédération française de taekwondo et disciplines associées","Fédération unisport olympique"
"club.123",1,"Fédération française de tennis","Fédération unisport olympique"
"club.124",1,"Fédération française de tennis de table","Fédération unisport olympique"
"club.125",1,"Fédération française de tir","Fédération unisport olympique"
"club.126",1,"Fédération française de tir à l'arc","Fédération unisport olympique"
"club.127",1,"Fédération française de triathlon","Fédération unisport olympique"
"club.128",1,"Fédération française de voile","Fédération unisport olympique"
"club.129",1,"Fédération française de volley-ball","Fédération unisport olympique"
"club.131",1,"Fédération française de hockey sur glace","Fédération unisport olympique"
"club.132",1,"Fédération française de golf","Fédération unisport olympique"
"club.133",1,"Fédération française de rugby","Fédération unisport olympique"
