"UID","ACTIVITY_TYPE","AGE_2018","sex","OCCUPATION_42","Is_student","degree","household_type","Insee","target"
1,"type1-1",44,"Male","csp_4_5",FALSE,"DIP|1|3","ft4-1","01004",33.1791
3,"type2-1",52,"Male","csp_7_7",FALSE,"DIP|1|1","ft4-3","01004",42.3055
5,"type2-1",80,"Male","csp_7_4",FALSE,"DIP|1|7","ft4-4","01004",45.9223
7,"type1-1",58,"Male","csp_2_2",FALSE,"DIP|1|6","ft1-1","01004",39.3028
11,"type1-1",42,"Male","csp_6_7",FALSE,"DIP|1|3","ft1-1","01004",28.6227
12,"type1-1",25,"Male","csp_1_1",FALSE,"DIP|1|5","ft4-1","01004",40.993
17,"type2-4",64,"Female","csp_8_6",FALSE,"DIP|1|4","ft4-2","01004",52.113
26,"type2-2",23,"Female","csp_8_4",TRUE,"DIP|1|3","ft4-3","01013",47.3082
28,"type2-1",85,"Female","csp_7_7",FALSE,"DIP|1|1","ft3-2","01014",46.8574
30,"type1-1",32,"Male","csp_1_1",FALSE,"DIP|1|7","ft4-1","01014",53.4516
33,"type2-5",44,"Male","csp_8_5",FALSE,"DIP|1|3","ft1-1","01015",45.749
38,"type2-1",87,"Male","csp_7_5",FALSE,"DIP|2","ft4-4","01021",44.3702
40,"type1-1",59,"Male","csp_5_2",FALSE,"DIP|1|1","ft4-1","01021",35.6491
41,"type1-1",42,"Male","csp_5_2",FALSE,"DIP|1|3","ft4-1","01024",47.4317
47,"type2-1",66,"Female","csp_7_8",FALSE,"DIP|2","ft4-1","01025",49.8245
48,"type1-1",51,"Female","csp_5_4",FALSE,"DIP|1|7","ft1-2","01025",46.3694
49,"type2-1",79,"Male","csp_7_8",FALSE,"DIP|1|1","ft4-4","01025",41.7231
51,"type1-2",56,"Male","csp_6_3",FALSE,"DIP|2","ft4-4","01025",36.2633
52,"type1-1",51,"Male","csp_6_2",FALSE,"DIP|1|3","ft1-1","01025",30.7988
54,"type1-2",21,"Male","csp_8_1",FALSE,"DIP|3","ft3-2","01025",35.1819
55,"type1-1",33,"Female","csp_4_3",FALSE,"DIP|1|6","ft4-1","01026",36.395
57,"type2-2",19,"Female","csp_8_4",TRUE,"DIP|1|2","ft3-2","01027",40.1366
61,"type2-5",30,"Male","csp_8_5",FALSE,"DIP|1|7","ft4-3","01027",42.4994
66,"type1-1",53,"Female","csp_1_1",FALSE,"DIP|1|3","ft3-2","01031",51.0427
68,"type1-1",39,"Male","csp_3_8",FALSE,"DIP|1|8","ft1-1","01031",34.0511
70,"type2-1",66,"Male","csp_7_8",FALSE,"DIP|2","ft4-4","01032",43.4914
72,"type1-1",55,"Female","csp_5_5",FALSE,"DIP|1|3","ft4-1","01032",44.8972
73,"type2-1",86,"Male","csp_7_8",FALSE,"DIP|2","ft4-4","01032",44.1074
75,"type2-5",61,"Female","csp_8_5",FALSE,"DIP|1|3","ft4-4","01033",45.5177
