"UID","emp_contract"
1,"contrat_1_6"
7,"contrat_2_2"
11,"contrat_1_2"
12,"contrat_2_2"
30,"contrat_2_1"
40,"contrat_1_6"
41,"contrat_1_6"
48,"contrat_1_6"
52,"contrat_1_6"
55,"contrat_1_6"
66,"contrat_2_1"
68,"contrat_1_6"
72,"contrat_1_6"
82,"contrat_1_6"
89,"contrat_1_6"
90,"contrat_1_5"
94,"contrat_1_6"
97,"contrat_1_6"
98,"contrat_1_6"
103,"contrat_1_6"
110,"contrat_1_6"
111,"contrat_2_1"
122,"contrat_1_6"
125,"contrat_1_6"
128,"contrat_1_6"
129,"contrat_1_6"
138,"contrat_1_6"
141,"contrat_1_6"
145,"contrat_1_6"
147,"contrat_2_2"
149,"contrat_1_6"
153,"contrat_2_1"
161,"contrat_1_3"
163,"contrat_1_6"
165,"contrat_2_1"
170,"contrat_1_6"
171,"contrat_1_6"
176,"contrat_1_6"
177,"contrat_1_6"
182,"contrat_1_6"
183,"contrat_1_6"
185,"contrat_1_6"
186,"contrat_2_1"
192,"contrat_1_6"
196,"contrat_1_2"
198,"contrat_1_5"
219,"contrat_1_6"
232,"contrat_1_6"
248,"contrat_1_6"
250,"contrat_1_5"
253,"contrat_1_6"
255,"contrat_1_6"
257,"contrat_2_1"
260,"contrat_1_6"
268,"contrat_1_6"
270,"contrat_1_6"
271,"contrat_1_6"
274,"contrat_1_6"
276,"contrat_2_1"
282,"contrat_1_6"
283,"contrat_2_1"
285,"contrat_1_6"
305,"contrat_2_2"
306,"contrat_1_6"
310,"contrat_1_6"
311,"contrat_1_6"
320,"contrat_1_5"
330,"contrat_1_6"
333,"contrat_1_6"
335,"contrat_1_6"
341,"contrat_1_6"
349,"contrat_1_6"
353,"contrat_2_2"
361,"contrat_1_6"
384,"contrat_1_6"
388,"contrat_1_3"
389,"contrat_1_5"
398,"contrat_1_6"
402,"contrat_1_6"
406,"contrat_1_6"
407,"contrat_1_6"
414,"contrat_1_6"
416,"contrat_2_1"
419,"contrat_2_1"
424,"contrat_1_6"
431,"contrat_1_6"
434,"contrat_2_2"
435,"contrat_1_5"
446,"contrat_1_6"
448,"contrat_1_2"
451,"contrat_1_6"
454,"contrat_1_6"
461,"contrat_1_6"
462,"contrat_1_6"
465,"contrat_1_6"
468,"contrat_1_6"
473,"contrat_1_6"
476,"contrat_1_6"
477,"contrat_2_1"
478,"contrat_2_2"
491,"contrat_1_5"
503,"contrat_1_6"
505,"contrat_1_6"
514,"contrat_1_5"
518,"contrat_1_6"
521,"contrat_1_6"
529,"contrat_1_6"
546,"contrat_1_6"
548,"contrat_1_6"
551,"contrat_1_6"
561,"contrat_1_6"
565,"contrat_2_1"
569,"contrat_1_6"
571,"contrat_1_6"
