"UID","JOB_CATEGORY","JOB_DEP","Working_hours","eco_sect","Terms_of_emp","Employer_type","Emolument","JOB_CONDITION","employee_count","Work_description"
1,"O","71",1838,"HZ","CDI","ct_9",20794,"C","tr_5","451a"
11,"O","01",378,"NZ","TTP","ct_9",14514,"C","tr_1","674a"
40,"O","69",1958,"QA","CDI","ct_9",21847,"C","tr_6","526a"
48,"O","69",1818,"CH","CDI","ct_9",22790,"P","tr_2","542a"
52,"O","38",1843,"CB","CDI","ct_9",27498,"C","tr_6","627a"
55,"O","01",1820,"QB","CDI","ct_8",15937,"C","tr_5","434f"
68,"O","01",1660,"CJ","CDI","ct_9",36574,"P","tr_6","383a"
72,"O","01",1923,"GZ","CDI","ct_9",15773,"C","tr_1","554h"
82,"O","01",1668,"CH","CDI","ct_9",25932,"C","tr_3","628c"
89,"O","69",1329,"NZ","CDI","ct_9",22184,"C","tr_4","463d"
90,"O","01",2028,"QA","AUT","ct_3",19204,"P","tr_6","431f"
94,"O","01",1835,"CH","CDI","ct_9",29678,"C","tr_5","475b"
97,"O","01",1660,"CG","CDI","ct_9",19891,"C","tr_3","628d"
98,"O","01",1819,"DZ","CDI","ct_9",23512,"C","tr_3","485a"
103,"O","01",1742,"GZ","CDI","ct_9",23314,"P","tr_3","462b"
110,"O","01",1125,"IZ","CDI","ct_9",24361,"C","tr_1","377a"
125,"O","69",1840,"NZ","CDI","ct_9",23913,"C","tr_6","534a"
129,"O","69",837,"GZ","CDI","ct_9",7544,"P","tr_1","554j"
138,"O","01",1819,"MC","CDI","ct_9",17332,"C","tr_1","542a"
141,"O","01",1725,"QA","CDI","ct_8",21115,"C","tr_6","432b"
145,"O","01",1468,"GZ","CDI","ct_9",13150,"P","tr_2","551a"
149,"O","01",752,"QA","CDI","ct_8",9890,"C","tr_6","431f"
163,"O","01",1378,"CA","CDI","ct_9",16060,"C","tr_5","625f"
170,"O","01",1741,"CA","CDI","ct_9",19544,"C","tr_5","625f"
177,"O","01",1821,"GZ","CDI","ct_9",15765,"C","tr_3","554c"
182,"O","01",886,"GZ","CDI","ct_9",11693,"P","tr_2","543g"
183,"O","73",1950,"CM","CDI","ct_9",20348,"C","tr_3","628a"
185,"O","01",1517,"PZ","CDI","ct_8",18368,"C","tr_1","421b"
192,"O","42",471,"CH","CDI","ct_9",7067,"F","tr_3","623f"
196,"O","01",701,"NZ","TTP","ct_9",10527,"C","tr_3","676a"
198,"O","01",1820,"QA","AUT","ct_3",19722,"C","tr_6","434c"
219,"O","92",NA,"GZ","CDI","ct_9",19414,"C","tr_6","463d"
232,"O","01",1631,"QB","CDI","ct_8",14594,"P","tr_4","563b"
248,"O","69",1820,"QB","CDI","ct_8",14457,"C","tr_3","526c"
250,"O","01",685,"HZ","TOA","ct_2",10761,"P","tr_3","524c"
253,"O","01",1663,"PZ","CDI","ct_8",12920,"P","tr_3","422e"
255,"O","01",1820,"QB","CDI","ct_9",17275,"C","tr_4","525d"
260,"O","01",1618,"FZ","CDI","ct_9",24338,"C","tr_5","481b"
268,"O","01",1820,"MA","CDI","ct_9",19118,"C","tr_1","474c"
270,"O","69",1819,"CA","CDI","ct_9",60647,"C","tr_4","463c"
274,"O","01",1879,"FZ","CDI","ct_6",20406,"C","tr_2","633a"
285,"O","01",1474,"GZ","CDI","ct_9",10768,"P","tr_2","552a"
306,"O","01",178,"IZ","CDI","ct_9",1855,"P","tr_3","561d"
310,"O","01",1819,"GZ","CDI","ct_6",22562,"C","tr_1","433d"
311,"O","01",891,"PZ","CDI","ct_1",9827,"C","tr_5","422e"
320,"O","38",1819,"MA","CDD","ct_9",23172,"C","tr_1","382b"
330,"O","01",613,"QA","CDI","ct_9",6849,"C","tr_4","525d"
333,"O","73",1813,"GZ","CDI","ct_9",17100,"C","tr_3","676c"
335,"O","01",207,"GZ","CDI","ct_9",16130,"C","tr_3","487a"
341,"O","01",2064,"CC","CDI","ct_9",18914,"C","tr_2","675c"
349,"O","69",1820,"CK","CDI","ct_9",26238,"C","tr_5","478a"
361,"O","01",1626,"EZ","CDI","ct_9",19283,"C","tr_3","684b"
384,"O","01",1455,"LZ","CDI","ct_5",30932,"P","tr_6","461f"
