"UID","Sports"
54,"club.117"
66,"club.245"
102,"club.219"
103,"club.111"
111,"club.403"
118,"club.111"
131,"club.604"
133,"club.218"
143,"club.125"
165,"club.103"
171,"club.401"
243,"club.117"
247,"club.123"
251,"club.103"
254,"club.111"
271,"club.211"
280,"club.115"
285,"club.123"
299,"club.211"
306,"club.111"
321,"club.129"
325,"club.413"
330,"club.402"
343,"club.123"
349,"club.105"
350,"club.403"
392,"club.402"
401,"club.123"
402,"club.603"
416,"club.132"
423,"club.401"
443,"club.604"
444,"club.245"
450,"club.119"
455,"club.111"
456,"club.111"
466,"club.211"
468,"club.111"
476,"club.111"
477,"club.101"
497,"club.410"
506,"club.111"
517,"club.111"
519,"club.218"
523,"club.221"
546,"club.123"
569,"club.123"
575,"club.601"
611,"club.111"
636,"club.108"
664,"club.211"
674,"club.103"
689,"club.133"
694,"club.402"
714,"club.102"
724,"club.105"
725,"club.111"
732,"club.604"
733,"club.404"
747,"club.266"
763,"club.111"
796,"club.109"
818,"club.219"
825,"club.111"
826,"club.402"
851,"club.123"
859,"club.242"
862,"club.132"
880,"club.111"
881,"club.115"
883,"club.401"
889,"club.107"
898,"club.242"
924,"club.105"
934,"club.402"
945,"club.242"
959,"club.219"
978,"club.403"
982,"club.233"
1009,"club.109"
1013,"club.125"
1021,"club.402"
1055,"club.109"
1059,"club.111"
1086,"club.111"
1122,"club.604"
1142,"club.123"
1163,"club.245"
1184,"club.211"
1191,"club.109"
1201,"club.105"
1212,"club.111"
1221,"club.103"
1223,"club.129"
1245,"club.111"
1261,"club.115"
1296,"club.229"
1310,"club.102"
1315,"club.111"
1320,"club.406"
1331,"club.604"
1340,"club.402"
1354,"club.242"
1367,"club.242"
1393,"club.218"
1409,"club.106"
1442,"club.111"
1465,"club.133"
1489,"club.111"
1495,"club.108"
1497,"club.114"
1511,"club.111"
1524,"club.604"
1527,"club.111"
1563,"club.604"
1618,"club.111"
1620,"club.403"
1648,"club.413"
1652,"club.413"
1679,"club.123"
1684,"club.105"
1709,"club.117"
1758,"club.126"
1768,"club.604"
1770,"club.402"
1781,"club.111"
1782,"club.123"
1793,"club.109"
1815,"club.123"
1819,"club.132"
1827,"club.101"
1832,"club.406"
1846,"club.125"
1854,"club.233"
1860,"club.117"
1863,"club.110"
1868,"club.109"
1875,"club.246"
1891,"club.111"
1898,"club.111"
1932,"club.108"
1951,"club.403"
1954,"club.125"
1959,"club.604"
1966,"club.403"
1970,"club.403"
1971,"club.402"
1980,"club.105"
1987,"club.604"
1993,"club.403"
1995,"club.133"
1998,"club.403"
1999,"club.132"
2006,"club.404"
2015,"club.115"
2023,"club.123"
2032,"club.402"
2037,"club.119"
2042,"club.111"
2066,"club.127"
2067,"club.604"
2070,"club.111"
2079,"club.232"
2098,"club.410"
2099,"club.403"
2133,"club.420"
2139,"club.604"
2146,"club.233"
2153,"club.111"
2163,"club.402"
2166,"club.403"
2193,"club.124"
2195,"club.109"
2212,"club.402"
2231,"club.109"
2264,"club.242"
2292,"club.221"
2324,"club.403"
2340,"club.403"
2362,"club.401"
2391,"club.413"
2398,"club.109"
2400,"club.229"
2413,"club.110"
2427,"club.109"
2428,"club.402"
2429,"club.229"
2435,"club.604"
2441,"club.242"
2466,"club.111"
2479,"club.267"
2501,"club.242"
2507,"club.258"
2527,"club.232"
2531,"club.111"
2563,"club.117"
2574,"club.111"
2586,"club.229"
2594,"club.242"
2606,"club.245"
2630,"club.229"
2659,"club.604"
2676,"club.229"
2692,"club.109"
2712,"club.103"
2715,"club.232"
2717,"club.115"
2730,"club.132"
2738,"club.420"
2744,"club.221"
2746,"club.108"
2748,"club.205"
2751,"club.125"
2779,"club.122"
2789,"club.232"
2797,"club.111"
2808,"club.121"
2835,"club.403"
2837,"club.245"
2848,"club.132"
2863,"club.129"
2874,"club.119"
2881,"club.221"
2907,"club.111"
2908,"club.601"
2927,"club.101"
2928,"club.242"
2942,"club.229"
2946,"club.242"
2965,"club.401"
